#Name	[Fe/H]	[Fe/H]_err	sigma([Fe/H])	sigma([Fe/H])_+err	sigma([Fe/H])_-err	MV M_i M_i_err
#Unless otherwise noted, abundances and MV are from Willman & Strader (2012)
#compilation and M_i is from Balbinot & Gieles (2018) in units of 10^5 Msun.
omegaCen	-1.647	0.009	0.271	0.007	0.007	-10.3	41.19	2.54
M54	-1.559	0.021	0.186	0.016	0.014	-10.0	29.87	1.73
NGC_6441	-0.334	0.018	0.079	0.016	0.013	-9.6	23.99	1.47
NGC_104	-0.743	0.003	0.024	0.003	0.002	-9.4	18.89	1.24
NGC_2419	-2.095	0.019	0.032	0.013	0.009	-9.4	18.88	1.21
NGC_2808	-1.105	0.006	0.062	0.005	0.004	-9.4	18.52	1.17
NGC_6388	-0.404	0.014	0.071	0.012	0.010	-9.4	19.67	1.04
NGC_7078	-2.341	0.007	0.055	0.006	0.005	-9.2	15.29	0.96
NGC_5904	-1.346	0.002	0.014	0.002	0.002	-8.8	10.93	0.67
M22	-1.764	0.016	0.099	0.013	0.011	-8.5	8.48	0.55
NGC_1851	-1.157	0.005	0.046	0.004	0.003	-8.3	6.99	0.44
NGC_1904	-1.545	0.005	0.028	0.005	0.004	-7.9	4.69	0.3
NGC_6752	-1.564	0.004	0.034	0.003	0.003	-7.7	4.34	0.27
NGC_6809	-1.970	0.004	0.035	0.003	0.003	-7.6	4.47	0.24
NGC_3201	-1.495	0.004	0.042	0.004	0.003	-7.5	3.17	0.2
NGC_6254	-1.557	0.005	0.048	0.004	0.003	-7.5	3.64	0.22
NGC_7099	-2.358	0.006	0.037	0.006	0.005	-7.4	3.56	0.18
NGC_4590	-2.230	0.007	0.057	0.006	0.005	-7.4	2.94	0.19
NGC_6218	-1.313	0.004	0.027	0.004	0.003	-7.3	3.33	0.2
NGC_6121	-1.200	0.003	0.018	0.003	0.002	-7.2	6.46	1.26
NGC_6171	-1.066	0.008	0.037	0.007	0.006	-7.1	3.01	0.18
NGC_288	-1.219	0.004	0.034	0.004	0.003	-6.8	2.05	0.08
NGC_6397	-1.994	0.004	0.027	0.003	0.003	-6.6	1.97	0.1
NGC_6838	-0.806	0.006	0.027	0.005	0.005	-5.6	0.87	0.04
#Carretta et al. (2017; A&A, 600, 118)
NGC_5634    -1.867  0.019   0.050   0.02   0.02   -7.69	3.87	0.23
#Dalessandro et al. (2016; ApJ, 829, 77), magnitude coverted from mass from Mackey & Gilmore (2003) assuming M/L=2, stats by hand
NGC_121 -1.28   0.06    0.055    0.09    0.055    -8.2	...	...
#Mucciarelli et al. (2016; ApJ, 824, 73), magnitude from Harris catalogue
NGC_6362    -1.09   0.01    0.00    0.01    0.00    -7.0	2.61	0.12
#Marino et al. (2015; MNRAS, 450, 815)
NGC_5286    -1.72   0.01    0.11    0.02    0.02    -8.7	10.28	0.63
#Boberg et al. (2015; ApJ, 804, 109), stats by hand, magnitude from Harris
NGC_5053    -2.45   0.01    0.04    0.02    0.02    -6.8	1.77	0.11
# Johnson et al. (2017; AJ, 154, 155). [Fe/H]_err from sigma/sqrt(N-1), sigma error from sigma/sqrt(2N-2). M_V from Harris.
NGC_6229	-1.13	0.019	0.06	0.013	0.013	-8.06	5.5	0.37
# Kacharov et al. (2013; A&A, 554, A81). sigma error from sigma/sqrt(2N-2) for N=13.
M75	-1.16	0.02	0.07	0.014	0.014	-8.57	8.77	0.59
# Johnson et al. (2017; ApJ, 836, 168). Numbers from CaT region which has better stats, FeH error from sigma/sqrt(N-1), sigma error from sigma/sqrt(2N-2). MV from Harris.
NGC_6273	-1.73	0.016	0.24	0.011	0.011	-9.13	15.65	0.46
# Johnson et al. (2017; ApJ, 842, 24). Stats using N=25.
NGC_5986	-1.54	0.016	0.08	0.012	0.012	-8.44	11.65	1.03
# Da Costa et al. (2014; MNRAS, 438, 3507). Stats using N=108.
NGC_5824	-2.01	0.13	0.06	0.004	0.004	-8.85	11.26	0.73
# Mura-Guzman et al. (2018; MNRAS, 474, 4541).
NGC_5927	-0.47	0.02	0.0	0.02	0.0	-7.81	4.57	0.27
# Liu et al. (2017; A&A, 601, 31). Stats using N=13.
NGC_6528	0.04	0.02	0.07	0.014	0.014	-6.57	3.6	0.13
# Villanova et al. (2017; MNRAS, 464, 2730).
M28	-1.29	0.01	0.06	0.01	0.01	-8.16	7.21	0.5
