# Log(M_GC) Log(M_init) [Fe/H] sigma([Fe/H])
3.6824 3.9853 -1.9500 0.0000
3.7286 4.0332 -1.9500 0.0000
3.7836 4.0938 -1.9500 0.0000
3.8302 4.1230 -1.9500 0.0000
3.8809 4.1781 -1.9500 0.0000
3.9305 4.2302 -1.9500 0.0000
3.9829 4.2946 -1.9500 0.0000
4.0303 4.3232 -1.9500 0.0000
4.0806 4.3869 -1.9500 0.0000
4.1293 4.4168 -1.9500 0.0000
4.1816 4.4891 -1.9500 0.0000
4.2308 4.5291 -1.9500 0.0000
4.2796 4.5742 -1.9468 0.0072
4.3298 4.6311 -1.9500 0.0000
4.3790 4.6741 -1.9500 0.0000
4.4309 4.7308 -1.9500 0.0000
4.4802 4.7783 -1.9500 0.0000
4.5290 4.8272 -1.9477 0.0040
4.5800 4.8818 -1.9500 0.0000
4.6302 4.9274 -1.9498 0.0005
4.6799 4.9778 -1.9466 0.0103
4.7294 5.0297 -1.9224 0.0288
4.7806 5.0774 -1.9272 0.0255
4.8294 5.1241 -1.9424 0.0133
4.8793 5.1776 -1.9385 0.0211
4.9295 5.2284 -1.9476 0.0055
4.9800 5.2767 -1.9354 0.0253
5.0297 5.3274 -1.9313 0.0216
5.0801 5.3799 -1.9408 0.0161
5.1305 5.4318 -1.9279 0.0201
5.1800 5.4771 -1.9116 0.0308
5.2299 5.5286 -1.9232 0.0311
5.2804 5.5815 -1.9076 0.0576
5.3298 5.6276 -1.8902 0.0413
5.3792 5.6750 -1.8931 0.0396
5.4298 5.7277 -1.8997 0.0314
5.4801 5.7791 -1.8588 0.0485
5.5294 5.8262 -1.8848 0.0506
5.5799 5.8785 -1.8619 0.0658
5.6295 5.9261 -1.8317 0.0576
5.6801 5.9798 -1.8223 0.0724
5.7295 6.0258 -1.8317 0.0641
5.7796 6.0770 -1.8076 0.0856
5.8296 6.1269 -1.7911 0.0677
5.8798 6.1784 -1.7614 0.0989
5.9297 6.2272 -1.7104 0.1145
5.9796 6.2769 -1.7280 0.0936
6.0297 6.3275 -1.7007 0.1467
6.0796 6.3771 -1.6473 0.1258
6.1298 6.4279 -1.5921 0.1719
6.1796 6.4771 -1.4784 0.2297
6.2297 6.5272 -1.4344 0.2246
6.2798 6.5781 -1.4055 0.2255
6.3299 6.6282 -1.3410 0.2732
6.3796 6.6768 -1.3288 0.2797
6.4296 6.7273 -1.2773 0.2826
6.4798 6.7781 -1.2484 0.3024
6.5297 6.8274 -1.2300 0.3037
6.5795 6.8758 -1.2291 0.3293
6.6297 6.9267 -1.2238 0.3346
6.6798 6.9778 -1.1831 0.3377
6.7296 7.0265 -1.1845 0.3319
6.7796 7.0763 -1.1732 0.3585
6.8296 7.1271 -1.1432 0.3386
6.8796 7.1773 -1.1442 0.3523
6.9297 7.2269 -1.1245 0.3522
6.9796 7.2767 -1.1513 0.3564
7.0296 7.3272 -1.1236 0.3730
7.0796 7.3768 -1.1197 0.3680
7.1296 7.4272 -1.1269 0.3767
