# mstar_init log_lifetime
1.000000000000000056e-01 1.226440489132616563e+01
1.499999999999999944e-01 1.204131714199029801e+01
2.000000000000000111e-01 1.185693595933690858e+01
2.500000000000000000e-01 1.167944954181741579e+01
2.999999999999999889e-01 1.148659738302311339e+01
3.099999999999999978e-01 1.143963004915789661e+01
3.200000000000000067e-01 1.138797887843191425e+01
3.300000000000000155e-01 1.134036077310650903e+01
3.400000000000000244e-01 1.127282581439460607e+01
3.499999999999999778e-01 1.121326674721260730e+01
3.599999999999999867e-01 1.114264991900066271e+01
3.699999999999999956e-01 1.110893157234058393e+01
3.800000000000000044e-01 1.108197349062526627e+01
3.900000000000000133e-01 1.105534642460474259e+01
4.000000000000000222e-01 1.102922782318624684e+01
4.500000000000000111e-01 1.089282174285996518e+01
5.000000000000000000e-01 1.073890599954794922e+01
5.500000000000000444e-01 1.060180436323487996e+01
5.999999999999999778e-01 1.048835853637088711e+01
6.500000000000000222e-01 1.036855122603246038e+01
6.999999999999999556e-01 1.025661609401495511e+01
7.500000000000000000e-01 1.018335286004071882e+01
8.000000000000000444e-01 1.008740684936037368e+01
8.499999999999999778e-01 9.998003943555859863e+00
9.000000000000000222e-01 9.914550772383346811e+00
9.200000000000000400e-01 9.882757056452330602e+00
9.399999999999999467e-01 9.851876758054775252e+00
9.599999999999999645e-01 9.821555676764941012e+00
9.799999999999999822e-01 9.792133456972422323e+00
1.000000000000000000e+00 9.763413129221873987e+00
1.020000000000000018e+00 9.735265113377387536e+00
1.040000000000000036e+00 9.707870042234885588e+00
1.060000000000000053e+00 9.681054315729976878e+00
1.080000000000000071e+00 9.654916435836396360e+00
1.100000000000000089e+00 9.629439679154510046e+00
1.120000000000000107e+00 9.604469559661723110e+00
1.139999999999999902e+00 9.580323392642357661e+00
1.159999999999999920e+00 9.556161285818438600e+00
1.179999999999999938e+00 9.533060019204057767e+00
1.199999999999999956e+00 9.510139419930476734e+00
1.219999999999999973e+00 9.487724695481707826e+00
1.239999999999999991e+00 9.466535738055204874e+00
1.260000000000000009e+00 9.444259720949640169e+00
1.280000000000000027e+00 9.423803939135474650e+00
1.300000000000000044e+00 9.403316981255855467e+00
1.320000000000000062e+00 9.383365810422786168e+00
1.340000000000000080e+00 9.363809065777678242e+00
1.360000000000000098e+00 9.344559305387626580e+00
1.379999999999999893e+00 9.325607071798021508e+00
1.399999999999999911e+00 9.307310669606755127e+00
1.419999999999999929e+00 9.289655438844203417e+00
1.439999999999999947e+00 9.272158935283535186e+00
1.459999999999999964e+00 9.255565531458943340e+00
1.479999999999999982e+00 9.239302642167972479e+00
1.500000000000000000e+00 9.223887528571301786e+00
1.520000000000000018e+00 9.208112310402079004e+00
1.540000000000000036e+00 9.192981246357502911e+00
1.560000000000000053e+00 9.178014209882865870e+00
1.580000000000000071e+00 9.164198732587230722e+00
1.600000000000000089e+00 9.149989471406305697e+00
1.620000000000000107e+00 9.136750894901229714e+00
1.639999999999999902e+00 9.123096045060286485e+00
1.659999999999999920e+00 9.109348515489836373e+00
1.679999999999999938e+00 9.096441682638696236e+00
1.699999999999999956e+00 9.082856953165753922e+00
1.719999999999999973e+00 9.071006580040499756e+00
1.739999999999999991e+00 9.059545180395572217e+00
1.760000000000000009e+00 9.045610737914650201e+00
1.780000000000000027e+00 9.032483675171388171e+00
1.800000000000000044e+00 9.022155201611449016e+00
1.820000000000000062e+00 9.011302132612481586e+00
1.840000000000000080e+00 9.000170877419348514e+00
1.860000000000000098e+00 8.985723504150165297e+00
1.879999999999999893e+00 8.977396261353103313e+00
1.899999999999999911e+00 8.965397453130785621e+00
1.919999999999999929e+00 8.953057696388574627e+00
1.939999999999999947e+00 8.943399043966074657e+00
1.959999999999999964e+00 8.934931983949390144e+00
1.979999999999999982e+00 8.925229128356336972e+00
2.000000000000000000e+00 8.915236743070238390e+00
2.020000000000000018e+00 8.905278924340471747e+00
2.040000000000000036e+00 8.894474099627847963e+00
2.060000000000000053e+00 8.885028020478587862e+00
2.080000000000000071e+00 8.872903168308411637e+00
2.100000000000000089e+00 8.862694524381108607e+00
2.120000000000000107e+00 8.851372866075552182e+00
2.140000000000000124e+00 8.841034687612818743e+00
2.160000000000000142e+00 8.829591762092476870e+00
2.180000000000000160e+00 8.820507810778215330e+00
2.200000000000000178e+00 8.811368139696831747e+00
2.220000000000000195e+00 8.800782649888896358e+00
2.240000000000000213e+00 8.787699900397186070e+00
2.259999999999999787e+00 8.780749406218907538e+00
2.279999999999999805e+00 8.767357519352771078e+00
2.299999999999999822e+00 8.757770761158427675e+00
2.319999999999999840e+00 8.749388693746354306e+00
2.339999999999999858e+00 8.739439552951250079e+00
2.359999999999999876e+00 8.731216023458690856e+00
2.379999999999999893e+00 8.723314025508271286e+00
2.399999999999999911e+00 8.711666492279212193e+00
2.419999999999999929e+00 8.702748475472446898e+00
2.439999999999999947e+00 8.694951573755755447e+00
2.459999999999999964e+00 8.685366141551030594e+00
2.479999999999999982e+00 8.675233188398483009e+00
